Customer ID,Customer Name,Email,Phone,Address
C001,Bates-Hart,stephanie16@example.com,(850)863-5179,"863 Johnson Fields
South Glendafort, AK 50506"
C002,Goodman PLC,angeldavies@example.com,2233418790,"612 Lutz Shoal
North Kennethport, IL 08495"
C003,Jones-Williams,heatherparker@example.org,9905965194,"3067 Shaffer Falls
Novaktown, MN 27363"
C004,Jones-Valenzuela,boothjasmine@example.org,2077973427,"2841 Aaron Mall
Dianeton, TX 79238"
C005,Williams and Sons,davidbell@example.net,867.323.6771,"831 Kirk Trafficway Suite 397
East Sherry, WV 84966"
C006,Smith and Sons,melaniewoods@example.net,+1-466-468-2614x43309,"367 Elizabeth Burg
Port Carolynhaven, OH 80720"
C007,Foster-Gilbert,eddie28@example.com,5315046561,"986 Kayla Curve
East Michaelshire, VI 78160"
C008,"Cross, Davis and Davis",hwashington@example.com,901-412-3535x27041,"40057 Ramos Crossroad
North Katie, AZ 51082"
C009,Tucker Group,williamsmark@example.org,246-309-5182x964,"96862 Coleman Center
Andersonmouth, NM 67321"
C010,Tate-Jimenez,garciarenee@example.org,506-832-9003x311,"12339 Brandon Gardens
Browntown, MI 72254"
C011,Griffin-Higgins,chungkurt@example.com,(815)565-2417x6393,"940 Tiffany Mount Suite 238
Danamouth, IA 50761"
C012,Smith PLC,lopezsusan@example.net,274-273-6925,"14240 Hart Crest Apt. 895
Emilyside, WI 74167"
C013,"Huff, Peterson and Martinez",ortegajessica@example.net,(236)241-8365,"Unit 9726 Box 3474
DPO AA 39942"
C014,Nelson PLC,kennethclark@example.org,+1-250-623-6430x116,"Unit 7123 Box 2626
DPO AP 03544"
C015,Wood-Holmes,andrewsheather@example.org,877.757.9344,"577 Melody Viaduct
Christinastad, NC 99408"
C016,Smith-Cooper,garciakathy@example.net,+1-441-922-6144x202,"311 Clark Prairie
West Markburgh, MN 30258"
C017,Heath-Pineda,marylawson@example.net,+1-321-754-3049x3918,"1578 Ryan Tunnel Apt. 873
South Jon, WA 09724"
C018,"Sanchez, Malone and Obrien",cassandra84@example.com,888-907-4864x0325,"55461 Jack Place
East Stacy, IA 29866"
C019,Herrera-Hill,jvalentine@example.com,001-724-235-8080,"503 Buchanan Motorway
Morrisborough, FL 37142"
C020,"Roberts, Gay and Montgomery",kaylamorgan@example.net,+1-690-414-0999x91128,"7234 Donna Summit
Lake Jessica, MH 37362"
C021,"Smith, White and Brooks",mark39@example.net,(401)770-1948x00649,"377 Samantha Curve Apt. 223
Cardenasland, SC 06163"
C022,"Willis, Perry and Cross",brian68@example.com,7039897238,"1698 Kevin Row
Port David, AL 22189"
