Expense ID,Date,Account ID,Amount,Vendor ID
E001,2022-08-17,A024,246.66038028701496,V028
E002,2023-04-25,A013,345.1564660638568,V021
E003,2022-11-17,A065,298.871484402562,V055
E004,2023-03-30,A007,389.2139929175446,V008
E005,2022-12-04,A035,401.9756436176516,V040
E006,2022-10-26,A031,404.04016854532045,V027
E007,2023-01-22,A041,111.86391803798858,V069
E008,2022-08-02,A024,191.5088792158893,V067
E009,2022-09-03,A066,275.9084060773897,V061
E010,2023-04-20,A017,146.81308593098893,V015
E011,2023-06-08,A060,304.04546960143665,V045
E012,2022-09-22,A025,162.1082530017382,V038
E013,2023-01-08,A064,347.6330401829329,V053
E014,2022-11-11,A011,103.1864375089522,V023
E015,2023-02-15,A034,584.3516642125821,V046
E016,2022-12-20,A038,384.9710160633663,V062
E017,2022-12-31,A061,229.54861341731007,V066
E018,2022-08-23,A018,195.05315947903426,V014
E019,2022-07-29,A060,573.0851714585792,V018
E020,2022-09-01,A041,244.0023222523481,V029
E021,2023-02-14,A042,452.4494066790494,V018
E022,2023-01-29,A018,144.34735487229258,V049
E023,2022-08-14,A025,180.8688134612106,V010
E024,2022-09-18,A035,311.64277169994784,V002
E025,2022-10-22,A020,259.57511283306417,V021
E026,2023-05-19,A007,365.3905770073296,V038
E027,2022-12-03,A011,374.7361431540096,V046
E028,2022-10-17,A060,468.66152783207764,V018
E029,2023-03-16,A015,576.5007261381913,V023
E030,2023-03-06,A057,333.1598646010485,V008
E031,2023-01-22,A063,589.6230301837193,V048
E032,2022-10-06,A052,156.69003241834852,V002
E033,2022-12-22,A067,316.6905465597147,V054
E034,2022-10-17,A008,577.1258738020703,V020
E035,2022-10-06,A062,424.0375132954615,V049
E036,2023-04-27,A056,180.62317442531713,V060
E037,2023-05-30,A050,309.2931160985907,V029
E038,2023-04-25,A011,203.86565629322442,V025
E039,2023-04-05,A068,393.02092555157213,V044
E040,2022-12-01,A060,175.47438926921274,V060
E041,2022-09-05,A036,135.1804396448819,V002
E042,2022-11-08,A059,551.0265319861307,V069
E043,2023-05-27,A013,334.1060850734766,V056
E044,2023-03-12,A042,297.36031943107844,V060
E045,2022-09-05,A001,538.7278653190972,V044
E046,2022-11-08,A002,386.32287071039235,V032
E047,2022-10-08,A026,174.6156607247416,V064
E048,2023-01-25,A029,262.48954952655595,V065
E049,2022-08-19,A048,211.10134284436697,V063
E050,2023-01-10,A023,351.30532111324646,V055
E051,2023-02-10,A045,542.0838828774378,V042
E052,2023-04-05,A037,215.97558690361598,V056
E053,2022-12-01,A041,550.9997619578171,V041
E054,2023-03-14,A032,471.0988350602958,V040
E055,2022-08-08,A060,222.54952625454672,V003
E056,2023-05-31,A004,225.1862894510875,V002
E057,2023-01-16,A026,558.2140607559629,V008
E058,2022-09-23,A068,218.2131150016108,V062
E059,2023-06-20,A022,103.36611665532821,V042
E060,2022-10-04,A043,203.9973726798989,V009
E061,2023-05-09,A027,134.7874593097967,V032
E062,2023-06-22,A021,378.81576836758285,V056
E063,2023-06-11,A039,185.82633038014063,V014
