Income ID,Date,Account ID,Amount
I001,2022-12-03,A031,1220.1424229144804
I002,2023-07-25,A045,1244.8786895802332
I003,2022-09-22,A009,1748.2085956052317
I004,2023-05-21,A038,1167.035102180186
I005,2023-07-14,A018,1810.5993828591165
I006,2023-06-05,A041,2044.7315558206246
I007,2022-09-01,A001,2429.5099731111927
I008,2023-01-11,A044,2098.0754688320903
I009,2023-01-13,A037,2369.3909470934013
I010,2023-05-23,A012,885.8353340016183
I011,2023-06-11,A036,2470.3010330401407
I012,2023-02-23,A039,806.1281209299575
I013,2023-01-20,A022,982.223594712837
I014,2023-07-14,A042,2233.413165225082
I015,2023-05-11,A040,2073.411213217031
I016,2022-10-21,A007,1830.7862772111291
I017,2023-06-10,A036,2470.010215399438
I018,2022-08-14,A014,814.0244837126434
I019,2022-09-25,A024,2481.8595996711356
I020,2022-07-29,A039,2338.966584139756
I021,2023-05-04,A031,2376.5435679117463
I022,2022-08-20,A009,1283.2297226841956
I023,2023-05-01,A058,1634.7533331248915
I024,2022-12-20,A043,1049.5858287883902
I025,2022-09-12,A014,502.71053118124877
I026,2023-01-11,A019,2440.031691141563
I027,2023-01-12,A014,1052.9468674374248
I028,2023-06-24,A061,1223.761776740937
I029,2023-01-15,A044,1617.5997257281515
I030,2022-12-05,A006,978.5895403034177
I031,2023-01-29,A049,540.6282803555403
I032,2023-03-29,A025,1630.1860866489644
I033,2023-01-27,A035,2336.4686781913315
I034,2023-01-25,A033,1484.353190546472
I035,2023-05-10,A009,2175.3267012180577
I036,2023-01-14,A010,1780.9513730835706
I037,2023-06-17,A065,1643.1215215488978
I038,2022-12-19,A005,1372.560793815066
I039,2022-10-25,A061,2399.0251730994987
I040,2023-07-13,A029,772.2071396376853
I041,2022-09-28,A040,1319.031493358093
I042,2023-07-27,A020,1660.6785028883367
I043,2023-03-24,A021,2173.0155379510597
I044,2022-07-31,A026,2134.8758381786893
I045,2022-09-18,A046,2288.341972109354
I046,2023-07-21,A024,1913.6000626084192
I047,2023-01-07,A036,1376.4665406020617
I048,2022-08-19,A033,2011.1296240840427
I049,2022-11-30,A070,1780.726143349444
I050,2023-04-17,A024,2257.406736942886
I051,2022-08-08,A034,2236.587800288131
I052,2022-09-06,A052,1189.1856019787542
I053,2023-03-12,A005,2033.368453256598
I054,2023-06-27,A006,1569.0408501944385
I055,2023-07-22,A029,1440.314405314257
I056,2023-02-08,A065,1298.6966149394343
I057,2022-10-25,A060,2347.939438255286
I058,2022-12-22,A006,704.4580355345322
I059,2023-07-11,A057,2017.2371402791064
I060,2023-05-05,A003,2227.540346515909
I061,2023-05-10,A056,1381.473067822035
I062,2023-06-15,A047,2202.879800656293
I063,2023-01-09,A024,1050.642038970673
I064,2023-02-19,A029,593.8199743241989
I065,2023-03-08,A014,1747.1242754015902
I066,2023-07-07,A012,1144.9742865133762
I067,2023-06-29,A049,1889.8763556561007
I068,2023-01-22,A040,1417.2998976851065
I069,2023-07-06,A056,2131.7437840293705
I070,2023-03-16,A054,1991.5741423066381
I071,2023-03-25,A053,2012.57627681122
I072,2023-03-04,A066,558.6045426028284
I073,2022-11-30,A020,1408.3308954382542
I074,2022-08-05,A040,831.6373469049421
I075,2023-05-30,A051,658.0981217640822
I076,2023-07-01,A047,940.8250876636571
I077,2022-09-28,A027,2358.413482725008
I078,2023-02-26,A068,1540.8880833442072
I079,2022-12-04,A070,2424.651980507878
I080,2023-02-02,A068,2239.808733640418
I081,2023-05-31,A004,1957.2529372991023
I082,2022-09-03,A055,1576.162545399498
I083,2023-01-28,A059,2176.2808479457
I084,2023-01-06,A030,1936.5499123014106
I085,2022-09-17,A069,859.299749657303
I086,2022-11-07,A055,1205.017407323037
I087,2022-12-20,A068,2459.8572621910826
I088,2023-03-27,A060,1121.2648864504986
I089,2022-12-11,A005,1179.1146128986861
I090,2023-04-29,A002,2497.7999995535984
I091,2022-12-27,A053,634.8862400133899
I092,2023-02-24,A022,651.383276992261
I093,2023-03-15,A063,868.4267245130479
I094,2022-09-24,A013,1824.5579495242343
I095,2022-08-27,A038,725.86424470503
I096,2023-05-14,A043,2377.9730653653223
I097,2023-07-08,A024,2276.1910319612166
I098,2023-01-28,A033,1357.5603180338358
I099,2023-03-25,A044,2127.222715472818
I100,2023-07-26,A065,2431.5095136051323
I101,2022-07-28,A028,2376.473795156473
I102,2022-08-26,A009,2443.965066384132
I103,2022-10-19,A062,2367.3460018658834
I104,2023-01-28,A021,605.8986011800416
I105,2023-05-02,A019,1362.5230992547831
I106,2022-08-07,A006,1785.2295415054123
I107,2023-01-24,A013,1003.7469930467639
I108,2022-07-28,A064,1879.2852938383562
I109,2022-12-04,A018,1108.0584257542555
I110,2022-11-24,A068,1214.5853342169185
I111,2022-12-24,A070,2494.7320803761722
I112,2022-10-31,A052,639.5799110809586
I113,2023-05-29,A066,1822.6717507475669
I114,2023-02-01,A026,2274.3597619776256
I115,2023-05-02,A049,2471.216047940416
I116,2022-09-01,A028,511.4865974128375
I117,2022-10-01,A039,840.2117299912898
I118,2022-08-07,A001,1845.89687385893
I119,2022-08-07,A057,1032.357440603957
I120,2023-04-13,A025,1998.675935482918
I121,2023-01-05,A010,1556.37418706781
I122,2022-09-05,A006,1324.53830499862
I123,2023-01-04,A066,2298.778633354865
I124,2023-02-04,A053,1335.2633633443324
I125,2023-06-25,A016,1221.467442057512
I126,2022-12-23,A022,1790.7039477483722
I127,2022-10-02,A061,1639.8541563809054
I128,2023-05-03,A026,2305.0685648670405
I129,2023-04-26,A026,2235.564057036822
I130,2022-11-04,A041,1524.609520226719
I131,2022-11-18,A029,2496.8895673795714
I132,2022-11-16,A012,883.5572945709393
I133,2022-12-31,A037,1129.656542035408
I134,2023-07-12,A025,1996.5022486280657
I135,2022-08-30,A004,1818.2055303337402
I136,2023-02-08,A012,894.5362366965303
I137,2022-09-17,A037,506.34995098922576
I138,2022-10-21,A070,583.1050868423351
I139,2022-11-06,A004,1841.428227868665
I140,2023-04-29,A005,642.0531278135481
I141,2022-12-30,A068,543.7375413153406
I142,2022-09-19,A046,1044.250054153369
I143,2023-04-30,A047,1410.6731812403193
I144,2022-10-20,A024,1066.7428338855198
I145,2023-06-19,A045,2134.8260309772704
I146,2023-07-16,A042,2019.4417762439089
I147,2023-01-27,A001,1670.7843785814719
I148,2022-12-07,A054,1614.348503989142
I149,2023-03-04,A012,1217.401111200796
I150,2022-10-23,A045,2442.527442960568
I151,2023-07-19,A064,2320.9765888787124
I152,2023-07-01,A052,1678.2441688193187
I153,2023-02-27,A029,898.9759422737197
I154,2023-06-03,A003,1314.5341368158001
I155,2023-04-15,A015,2423.4599083538574
I156,2022-08-27,A051,742.652262529895
I157,2023-06-04,A009,1617.033567291394
I158,2023-06-19,A021,1650.3064255116446
I159,2023-03-03,A024,2146.887540057708
I160,2023-07-01,A004,2453.311157116057
I161,2022-07-31,A024,1957.3302313505483
I162,2022-07-30,A038,793.1988768447218
I163,2023-02-10,A021,1448.5910442575102
I164,2022-08-11,A010,2117.475758170077
I165,2023-02-17,A052,1333.4717374521688
I166,2023-03-30,A030,797.1305992028558
I167,2022-12-01,A016,1456.2858707608862
I168,2023-01-10,A067,1396.4683261563164
I169,2022-09-23,A055,1042.2706435537264
I170,2023-04-09,A056,760.9543858780712
I171,2022-11-02,A012,1878.5531875554545
I172,2023-06-11,A067,1416.93492551885
I173,2022-08-28,A058,1358.2919880386453
I174,2023-02-08,A041,1494.3758383208537
I175,2023-07-13,A002,1268.785948821951
I176,2023-04-15,A070,1737.269106969402
I177,2023-02-04,A039,585.443289110047
I178,2023-07-14,A012,2132.5591470828954
I179,2023-06-24,A022,2441.683673010645
I180,2022-10-12,A011,2167.411044838249
I181,2023-06-20,A063,2466.4647930198016
I182,2023-07-13,A031,2178.7011300783797
I183,2022-08-01,A051,2238.736253196722
I184,2022-11-03,A016,2394.0198575798568
I185,2022-09-21,A058,2342.964012463327
I186,2022-11-06,A030,1338.220780855433
I187,2023-04-12,A039,1401.6338324921426
I188,2023-04-12,A037,1363.882223295389
I189,2022-11-14,A016,1319.986805313411
I190,2023-04-03,A025,940.1754466108083
I191,2022-12-12,A005,1091.1389468302878
I192,2022-11-30,A067,1237.5495756714301
I193,2023-01-25,A054,2015.6445061493619
I194,2022-12-10,A011,818.1545647937178
I195,2023-07-23,A059,555.3055594985115
I196,2023-01-10,A052,2170.4136357216594
I197,2022-12-06,A039,2313.101250165872
I198,2023-04-04,A018,2235.6403662629123
I199,2022-10-22,A066,2040.857286927419
I200,2023-05-20,A030,2286.4961997077817
I201,2023-02-22,A022,1533.0756846477057
