Vendor ID,Vendor Name,Email,Phone,Address
V001,Beard LLC,pjohnson@example.org,+1-628-223-7665x3594,"67679 Parsons Common Suite 966
New Andrew, WA 38407"
V002,Martinez Group,tanyamartin@example.com,001-732-618-5959x5445,"669 Sean Road Apt. 406
Wileymouth, OR 20621"
V003,Cordova-Williams,mgillespie@example.com,776.865.8120x616,"07915 Jacob Causeway
Mendozafurt, NY 34535"
V004,"Dunlap, Hughes and Hernandez",mallorydoyle@example.org,346.391.0736x1579,"068 Tyler Camp
Lopezbury, MT 03015"
V005,Briggs Ltd,salazarrachel@example.com,+1-439-771-7780x95878,"3702 Samuel Junction
Murphymouth, NE 02660"
V006,Garcia Group,khinton@example.com,001-608-432-5451x307,"2450 Mejia Fork Suite 211
Lake Jacqueline, FL 28547"
V007,"Knight, Orozco and Rodriguez",bill33@example.org,479.900.6179x98160,"53337 Combs Street
Ashleybury, WV 12398"
V008,Wood-Santos,stacey95@example.net,486-917-7420x38156,"4414 Hopkins Ports
New Kelly, NV 53207"
V009,Barnett-Farley,velasquezbarbara@example.com,(310)775-1353x50851,"36977 Deleon Fall
Port Kenneth, TN 91985"
V010,Garrett-Curry,kent89@example.org,606-943-3977x424,"52980 Joseph Fall Apt. 009
Hodgeport, MO 10570"
V011,"Greene, Jones and Greer",heatherhernandez@example.net,3659375006,"900 Wade Viaduct
Paulchester, WV 80453"
V012,Juarez PLC,bbennett@example.com,670-391-3326x408,"07267 Richard Plaza
Joshuaview, NJ 28492"
V013,"West, Lopez and King",nicholaspena@example.org,433.864.8359x5506,"97844 Amanda Street Apt. 502
South Peter, HI 81487"
V014,"Franklin, Rivera and Mueller",zorr@example.com,610-301-7634x6404,"0138 Christopher Fork
Lake Caitlin, TN 27378"
V015,"Maxwell, Hill and Perez",shodge@example.org,(717)843-0947,"8087 Karen Route
Wellston, GA 29087"
V016,Brown LLC,deannaacosta@example.com,001-306-236-2442x638,"1569 Wright Rest
Owensside, KY 14558"
V017,Lang-Gregory,christine59@example.net,564-699-8300x9280,"617 Conley Key Suite 569
Anthonyton, DC 79649"
V018,"Case, Taylor and Weber",nbarton@example.org,001-725-679-3489x36845,"79551 Gary Shoals
Lake Chadhaven, AR 64133"
V019,Miller Group,lopeztimothy@example.net,001-745-790-9607x228,"06246 Ian Vista
New Mark, MP 47798"
V020,Evans-Dawson,ygarza@example.org,(235)492-0770,"15758 Pierce Street Suite 007
Woodsburgh, ND 29488"
