Feedback ID,Customer ID,Feedback Date,Feedback Type,Description,Rating
c1d493f0-0822-4b44-977c-175bdb17abc9,ba9bd457-16e3-4def-888b-502499022571,2023-03-10 20:00:30,Support Ticket,Amount build sister keep movement believe. Whole prevent within civil.,3
860c6105-439b-495b-aa83-aec145d78508,a7b0afd7-5c2c-43c4-ab33-85772cda7c90,2023-06-07 19:14:43,Social Media,Herself paper western knowledge certainly strong. Choice fly beat image garden these name. Sport build risk effort best then attention spring.,3
2d633e2a-169c-4249-9883-ef4d78b2ee14,93301d4f-13ce-4838-899f-254f4cb641f6,2023-04-21 22:26:44,Survey,Imagine southern standard risk fill letter hour. Exist response there major friend line agency soon. Sometimes with training choose available standard hundred. Energy light stage manager.,3
89ea46fc-bfa7-4946-b8fb-109373baa9d6,90ab4fde-068f-44c6-a755-91011a419ed8,2022-08-28 17:47:34,Support Ticket,Senior behind improve security particular place. Audience indeed section success.,4
77c422cc-e177-40dd-ae80-470afbd2b18b,7e13af72-77a3-4f67-8084-6fe6312b6b38,2023-01-15 03:05:03,Social Media,Stage first thing television Mrs either. Goal camera we rest. Ten third parent become big serious.,1
ac9a8896-6672-44ab-bdb3-71607f0fe7f4,79fb40c4-b9cd-460a-81e0-f9539d9070dd,2023-05-27 05:42:14,Social Media,Exactly simply person staff smile sister attention. Just step individual realize itself find. Window war director attack order side. Rule choice policy probably beautiful compare coach.,1
7f0c8944-431b-4882-b6a3-17e66305a9b0,b35fc1c1-70db-4f17-8001-664037b304ca,2023-05-14 19:37:05,Social Media,Few character participant time when office detail. Television have next drive opportunity establish house. Herself bill capital market better together pretty.,4
c7542d66-8d2b-428b-ae27-1661b69052e8,e30a5b91-3040-4f71-9107-6a676b71c52a,2022-11-24 12:47:27,Survey,Keep page cost thank. Industry under hospital stand gun think give. Summer vote also system positive garden become. Program necessary including whatever message.,1
537d321e-3b71-4e2d-b6bc-8012cee7f35b,899eb3ff-58a2-4aa6-8469-072a6fc1b281,2023-02-12 00:21:52,Support Ticket,Bit watch girl debate house goal. Drug sister management item rise. Sense most determine wind among piece career.,3
e9c3d000-e4ee-4128-88b8-3cf7c01ae69c,c1e9afcd-6ed4-4e83-8ceb-bc72ef19967e,2022-08-06 22:21:55,Support Ticket,Remember third wall only option summer already face. Almost popular business arm responsibility recognize stock. Growth space customer it.,5
